Nomor,Nama,Telepon,Alamat
1,PT. Starindo Multi Industri,,"Pergudangan 100, Jl. Salembaran Raya Blok A2 No. 15 Tangerang, Banten"
2,PT. Sumber Inti Plasindo,81338177878,"Jl. Pangkalan 1A, RT 001 RW 006, Bantargebang, Kota Bekasi"
3,PT. Panca Budi Niaga,,"Jl. Jalur Sutera Blok/Kav. 27 D/2 Alam Sutera, Pakualam, Serpong Utara"
4,PT. Ekadharma International Tbk.,,"Kawasan Industri Pasar Kamis, Jl. Raya Pasar Kamis, Tangerang"
5,PT. GMP Sukses Makmur Indonesia,2122554137,"Gudang Berlian, No. 8J Jl. Kapuk Kamal Muara Raya Utara, Penjaringan"
6,PT. Dwi Maju,,"Jl. Roa Malaka Utara No. 14 Tambora, Jakarta Barat"
7,PT. Pingan Pingsu Plastic,,"Pergudangan Balaraja Raya Blok A9, Tangerang, Banten"
8,PT. Ksatria Tape,,"Jl. Pangeran Jayakarta, Jakarta Pusat"
9,CV Mang Slamet Sentosa,,"Cianjur, Jawa Barat"
10,CV Darmawan,,"Bogor, Jawa Barat"
